name,description,imageUrl,city,province,openTime,closeTime,latitude,longitude,accessibility,historical_context,hands_on_activities,planning,rating
Temple of the Tooth Relic (Sri Dalada Maligawa),"One of the most sacred Buddhist temples in the world, housing a relic believed to be a tooth of the Buddha.",a,Kandy,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Gadaladeniya Temple,"A beautiful stone temple built by King Wickramabahu III in the 14th century, showcasing South Indian architectural influences.",a,"Pilimathalawa, Kandy",Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Embekka Devalaya,"A temple known for its intricate woodwork and traditional Kandyan architecture, dedicated to the guardian deity of musicians.",a,"Udunuwara, Kandy",Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Lankatilaka Temple,"A stunning temple featuring a massive brick-built image house and intricate frescoes, built during the Gampola Kingdom.",a,"Udunuwara, Kandy",Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Ambakke Devalaya,"Another temple celebrated for its impressive wood carvings, dedicated to guardian deities.",a,"Udunuwara, Kandy",Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Ranawana Purana Rajamaha Viharaya,"A historic temple complex with a stupa and ancient inscriptions, offering serene surroundings for meditation.",a,Kandy,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Sri Pada (Adam's Peak),"A sacred mountain revered by multiple religions, with a footprint-shaped mark believed to be that of Lord Buddha or Adam, depending on religious belief.",a,Ratnapura,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Kotmale Mahaweli Maha Seya,"A large stupa built to commemorate the Kotmale Reservoir, with impressive architectural features.",a,Kotmale,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Nalanda Gedige,"A unique archaeological site blending Hindu and Buddhist architectural styles, believed to have been a place of worship.",a,Matale,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Gampola Era Library,"A historic library built during the Gampola Kingdom, known for its distinctive architecture and collection of ancient texts.",a,Gampola,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Gampola Kingswood College,"One of Sri Lanka's oldest schools, with a history dating back to the Gampola Kingdom.",a,Gampola,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Aluvihara Rock Cave Temple,An ancient cave temple where the Tripitaka (the Buddhist scriptures) is said to have been written on ola leaves.,a,Matale,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Arankale Monastery,Ruins of an ancient monastery believed to date back to the 1st century BC.,a,Matale,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Bambaragala Archeological Site,"An archaeological site featuring ancient rock inscriptions, believed to be from the 9th to 11th centuries.",a,Kandy,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Udawatte Kele Sanctuary,"A historic forest reserve with ancient ruins, providing a glimpse into the region's historical significance.",a,Kandy,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Lankatilaka Viharaya (Panwila),"Another temple dedicated to Lord Buddha, known for its unique architectural design and stunning views.",a,"Panwila, Kandy",Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Bambarakelle Estate Bungalow,A colonial-era tea estate bungalow that offers a glimpse into the history of Sri Lanka's tea industry.,a,Nuwara Eliya,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
Adisham Bungalow (St.Benedict's Monastery),"A beautifully preserved colonial mansion built by Sir Thomas Lester Villiers, featuring picturesque gardens and architecture.",https://upload.wikimedia.org/wikipedia/commons/2/2d/Adisham_Bungalow.JPG,Haputale,Central,9:00 AM,4:30 PM,6.772187450014337,80.9308764674591,"Wheelchair-accessible car park, Wheelchair-accessible entrance",British colonial era,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.6
Rideekanda Forest Monastery,"An archaeological site with ancient ruins and inscriptions, providing insight into the region's historical Buddhist presence.",https://www.rideekanda.com/uploads/2022/1/rideekanda_forest_monastery_sri_lanka_53.jpg,Matale,Central,8:00 AM,5:00 PM,7.3167,80.6333,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",Getting tickets in advance recommended,4.7
