_id,name,description,imageUrl,city,province,openTime,closeTime,latitude,longitude,accessibility,historical_context,hands_on_activities,rating
652b9d229c8deef2485bf8e1,Nalanda Gedige (Central point of Sri Lanka),"A unique archaeological site blending Hindu and Buddhist architectural styles, believed to have been a place of worship.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Nalanda_Gedige.jpg/1280px-Nalanda_Gedige.jpg,Matale,Central,7:00 AM,5:00 PM,7.669748599999999,80.645856,Wheelchair-accessible car park,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing, Good for kids",4.6
652b9d229c8deef2485bf8ea,Independence Square,A national monument commemorating Sri Lanka's independence from British colonial rule. It features symbolic architectural elements and a museum.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Independence_Commemoration_Hall.jpg/1280px-Independence_Commemoration_Hall.jpg,Colombo,Western,0:00 AM,0:00 AM,6.904767900890669,79.86235274076459, ,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.6
652b9d229c8deef2485bf8e4,Bambaragala Purana Rajamaha Viharaya,"An archaeological site featuring ancient rock inscriptions, believed to be from the 9th to 11th centuries.",https://i2.wp.com/amazinglanka.com/wp/wp-content/uploads/2017/11/waduwawa-009.jpg?ssl=1,Kandy,Central,5:00 AM,6:00 PM,7.969620751150967,80.13120920223723, ,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.8
652b9d229c8deef2485bf8e0,Sri Pada / Adam's Peak,"A sacred mountain revered by multiple religions, with a footprint-shaped mark believed to be that of Lord Buddha or Adam, depending on religious belief.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Sri_Pada.JPG/1280px-Sri_Pada.JPG,Ratnapura,Central,0:00 AM,0:00 PM,6.809642740550588,80.48906698264882,Staircases ," Ancient Buddhist monastery, World Heritage"," Hike, Photography, Sightseeing, Relaxing, Meditating",4.6
652b9d229c8deef2485bf8e2,Aluvihara Rock Cave Temple,An ancient cave temple where the Tripitaka (the Buddhist scriptures) is said to have been written on ola leaves.,https://tlc.lk/wp-content/uploads/2017/08/TLClk_Aluvihara-Rock-Cave-Temple-CSP0779327-1.jpg,"Aluvihare, Matale",Central,0:00 AM,0:00 AM,7.49772561342765,80.62178391906617,Wheelchair-accessible car park,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.7
652b9d229c8deef2485bf8eb,Kelaniya Raja Maha Viharaya,"One of the most sacred Buddhist temples in Sri Lanka, believed to have been visited by Lord Buddha. It boasts vibrant murals and a stupa.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Kelaniya_AS1.JPG,"Kelaniya, Colombo",Western,0:00 AM,0:00 AM,7.534774392447118,80.557663210421, Accessible Parking,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.8
652b9d229c8deef2485bf8e3,Arankale Buddhist Monastery,Ruins of an ancient monastery believed to date back to the 1st century BC.,https://www.thingstodosrilanka.com/wp-content/uploads/2020/05/Arankele-Forest-Monestry-1024x553.jpg,Kumbukwewa,Central,8:00 AM,5:00 PM,7.639653772779017,80.41433284263776,Wheelchair-accessible car park, Ancient Buddhist monastery, ,4.6
652b9d229c8deef2485bf8ee,Dehiwala Zoological Garden,"One of the oldest zoos in Asia, with a history spanning over 80 years. It's a great place to explore both wildlife and the zoo's heritage.",https://upload.wikimedia.org/wikipedia/commons/8/8b/Elephant_dance_at_galleryfull.jpg,Dehiwala,Western,8:30 AM,6:00 PM,6.856986419170487,79.87182221012159," Wheel Chair Access, Accessible Parking", ," Interactive Tours, Photography, Sightseeing",4.2
652b9d229c8deef2485bf8e7,Rideekanda Forest Monastery,"An archaeological site with ancient ruins and inscriptions, providing insight into the region's historical Buddhist presence.",https://www.rideekanda.com/uploads/2022/1/rideekanda_forest_monastery_sri_lanka_53.jpg,Matale,Central,0:00 AM,0:00 AM,7.534774392447118,80.557663210421, ,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.7
652b9d229c8deef2485bf8e8,Colombo National Museum,"Sri Lanka's oldest museum, housing a vast collection of historical artifacts, including the regalia of Sri Lankan kings and ancient art.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/SL_Colombo_asv2020-01_img10_National_Museum.jpg/1920px-SL_Colombo_asv2020-01_img10_National_Museum.jpg,Colombo,Western,9:00 AM,4:00 PM,6.9099991,79.8583229,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet",Museum Access , Interactive Tours,4.4
652b9d229c8deef2485bf8ed,Queen Viharamahadevi Park,"Originally named Victoria Park, it's a public park with historical significance. It was named in honor of Queen Viharamahadevi, the mother of King Dutugemunu.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Viharamahadevi_Park_incl._Town_Hall.jpg/1280px-Viharamahadevi_Park_incl._Town_Hall.jpg,Colombo,Western,6:00 AM,6:00 PM,6.913396000763278,79.85687454076495,"Wheelchair-accessible car park, Wheelchair-accessible entrance", British colonial era,"Playground, Dogs allowed, Picnic tables, Public toilet, Skateboarding area, Slides, Swings",4.4
652b9d229c8deef2485bf8dd,Sri Dalada Maligawa,"One of the most sacred Buddhist temples in the world, housing a relic believed to be a tooth of the Buddha.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/SL_Kandy_asv2020-01_img33_Sacred_Tooth_Temple.jpg/1920px-SL_Kandy_asv2020-01_img33_Sacred_Tooth_Temple.jpg,Kandy,Central,8:00 AM,5:00 PM,7.293608973984608,80.63645944060477,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Staircases",Museum Access, Sightseeing,4.7
652b9d229c8deef2485bf8de,Gadaladeniya Raja maha viharaya,"A beautiful stone temple built by King Wickramabahu III in the 14th century, showcasing South Indian architectural influences.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Gadaladeniya_Viharaya_02.JPG/1280px-Gadaladeniya_Viharaya_02.JPG,"Pilimathalawa, Kandy",Central,7:00 AM,8:00 PM,7.257530000000011,80.53695658715819, , Ancient Buddhist monastery," Photography, Sightseeing",4.8
652b9d229c8deef2485bf8e6,Adisham Bungalow (St.Benedict's Monastery),"A beautifully preserved colonial mansion built by Sir Thomas Lester Villiers, featuring picturesque gardens and architecture.",https://upload.wikimedia.org/wikipedia/commons/2/2d/Adisham_Bungalow.JPG,Haputale,Central,9:00 AM,4:30 PM,6.772187450014337,80.9308764674591,"Wheelchair-accessible car park, Wheelchair-accessible entrance",British colonial era,"Photography, Sightseeing",4.6
652b9d229c8deef2485bf8df,Embekka Dewalaya,"Another temple celebrated for its impressive wood carvings, dedicated to guardian deities.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Embekka_Devalaya_01.JPG/1280px-Embekka_Devalaya_01.JPG,"Udunuwara, Kandy",Central,0:00 AM,0:00 AM,7.2179443927577775,80.56513081011812, , ,"Photography, Sightseeing",4.6
652b9d229c8deef2485bf8e5,Lankatilaka Temple,"Another temple dedicated to Lord Buddha, known for its unique architectural design and stunning views.",https://www.storyofsrilanka.com/images/slider/sri-lanka-guide-destinations/lankatilaka-vihara/01.jpg,Polonnaruwa,Central,9:00 AM,5:00 PM,7.962814392028876,81.00106031042556, ,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.7
652b9d229c8deef2485bf8e9,Gangarama Temple,"A Buddhist temple with a blend of Sri Lankan, Thai, Indian, and Chinese architecture. It houses an eclectic collection of artifacts and religious relics.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Gangaramaya_Temple.JPG/1280px-Gangaramaya_Temple.JPG,Colombo,Western,6:00 AM,10:00 PM,6.916719818441023,79.85406531012194,"Wheelchair-accessible car park, Wheelchair-accessible entrance,",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.6
652b9d229c8deef2485bf8ec,"St. Anthony's Shrine, Kochchikade","A historic Catholic church in Colombo, believed to be one of the oldest churches in Sri Lanka.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/St._Anthony%27s_Shrine%2C_Kochchikade.jpg/1280px-St._Anthony%27s_Shrine%2C_Kochchikade.jpg,Colombo,Western,5:00 AM,8:00 PM,6.946733598135862,79.85617107921762, ,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.8
652b9d229c8deef2485bf8ef,Kande Purana Rajamaha Viharaya,A historic Buddhist temple complex with a significant cultural and religious legacy.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/LK-aluthgama-kande-vihara-tempel.jpg/1280px-LK-aluthgama-kande-vihara-tempel.jpg,Aluthgama,Western,6:00 AM,10:00 PM,6.928265418299376,79.90980961012197, Staircases, Ancient Buddhist monastery, ,4.6
