_id,accessibility,city,closeTime,description,hands_on_activities,historical_context,imageUrl,latitude,longitude,name,openTime,planning,province,rating
652b9d229c8deef2485bf8dd,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Kandy,5:00 PM,"One of the most sacred Buddhist temples in the world, housing a relic believed to be a tooth of the Buddha.", , ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/SL_Kandy_asv2020-01_img33_Sacred_Tooth_Temple.jpg/1920px-SL_Kandy_asv2020-01_img33_Sacred_Tooth_Temple.jpg,7.293608973984608,80.63645944060477,Sri Dalada Maligawa,8:00 AM, ,Central,4.7
652b9d229c8deef2485bf8de, ,"Pilimathalawa, Kandy",8:00 PM,"A beautiful stone temple built by King Wickramabahu III in the 14th century, showcasing South Indian architectural influences.", , ,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Gadaladeniya_Viharaya_02.JPG/1280px-Gadaladeniya_Viharaya_02.JPG,7.257530000000011,80.53695658715819,Gadaladeniya Raja maha viharaya,7:00 AM, ,Central,4.8
652b9d229c8deef2485bf8df, ,"Udunuwara, Kandy",0:00 AM,"Another temple celebrated for its impressive wood carvings, dedicated to guardian deities.", , ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Embekka_Devalaya_01.JPG/1280px-Embekka_Devalaya_01.JPG,7.2179443927577775,80.56513081011812,Embekka Dewalaya,0:00 AM, ,Central,4.6
652b9d229c8deef2485bf8e0, ,Ratnapura,0:00 PM,"A sacred mountain revered by multiple religions, with a footprint-shaped mark believed to be that of Lord Buddha or Adam, depending on religious belief.", , ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Sri_Pada.JPG/1280px-Sri_Pada.JPG,6.809642740550588,80.48906698264882,"Sri Pada / Adam's Peak",0:00 AM, ,Central,4.6
652b9d229c8deef2485bf8e1,Wheelchair-accessible car park,Matale,5:00 PM,"A unique archaeological site blending Hindu and Buddhist architectural styles, believed to have been a place of worship.","Photography, Sightseeing, Relaxing, Good for kids",Ancient Buddhist monastery,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Nalanda_Gedige.jpg/1280px-Nalanda_Gedige.jpg,7.669748599999999,80.645856,Nalanda Gedige (Central point of Sri Lanka),7:00 AM, ,Central,4.6
652b9d229c8deef2485bf8e2,Wheelchair-accessible car park,"Aluvihare, Matale",0:00 AM,An ancient cave temple where the Tripitaka (the Buddhist scriptures) is said to have been written on ola leaves.,"Photography, Sightseeing, Relaxing",Ancient Buddhist monastery,https://tlc.lk/wp-content/uploads/2017/08/TLClk_Aluvihara-Rock-Cave-Temple-CSP0779327-1.jpg,7.49772561342765,80.62178391906617,Aluvihara Rock Cave Temple,0:00 AM, ,Central,4.7
652b9d229c8deef2485bf8e3,Wheelchair-accessible car park,Kumbukwewa,5:00 PM,Ruins of an ancient monastery believed to date back to the 1st century BC., , ,https://www.thingstodosrilanka.com/wp-content/uploads/2020/05/Arankele-Forest-Monestry-1024x553.jpg,7.639653772779017,80.41433284263776,Arankale Buddhist Monastery,8:00 AM, ,Central,4.6
652b9d229c8deef2485bf8e4, ,Kandy,6:00 PM,"An archaeological site featuring ancient rock inscriptions, believed to be from the 9th to 11th centuries.","Photography, Sightseeing, Relaxing",Ancient Buddhist monastery,https://i2.wp.com/amazinglanka.com/wp/wp-content/uploads/2017/11/waduwawa-009.jpg?ssl=1,7.969620751150967,80.13120920223723,Bambaragala Purana Rajamaha Viharaya,5:00 AM, ,Central,4.8
652b9d229c8deef2485bf8e5, ,Polonnaruwa,5:00 PM,"Another temple dedicated to Lord Buddha, known for its unique architectural design and stunning views.","Photography, Sightseeing, Relaxing",Ancient Buddhist monastery,https://www.storyofsrilanka.com/images/slider/sri-lanka-guide-destinations/lankatilaka-vihara/01.jpg,7.962814392028876,81.00106031042556,Lankatilaka Temple,9:00 AM, ,Central,4.7
652b9d229c8deef2485bf8e6,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Haputale,4:30 PM,"A beautifully preserved colonial mansion built by Sir Thomas Lester Villiers, featuring picturesque gardens and architecture.","Photography, Sightseeing",British colonial era,https://upload.wikimedia.org/wikipedia/commons/2/2d/Adisham_Bungalow.JPG,6.772187450014337,80.9308764674591,"Adisham Bungalow (St.Benedict's Monastery)",9:00 AM,Getting tickets in advance recommended,Central,4.6
652b9d229c8deef2485bf8e7, ,Matale,0:00 AM,"An archaeological site with ancient ruins and inscriptions, providing insight into the region's historical Buddhist presence.","Photography, Sightseeing, Relaxing",Ancient Buddhist monastery,https://www.rideekanda.com/uploads/2022/1/rideekanda_forest_monastery_sri_lanka_53.jpg,7.534774392447118,80.557663210421,Rideekanda Forest Monastery,0:00 AM,Getting tickets in advance recommended,Central,4.7
652b9d229c8deef2485bf8e8,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet",Colombo,4:00 PM,"Sri Lanka's oldest museum, housing a vast collection of historical artifacts, including the regalia of Sri Lankan kings and ancient art.", , ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/SL_Colombo_asv2020-01_img10_National_Museum.jpg/1920px-SL_Colombo_asv2020-01_img10_National_Museum.jpg,6.9099991,79.8583229,Colombo National Museum,9:00 AM, ,Western,4.4
652b9d229c8deef2485bf8e9,"Wheelchair-accessible car park, Wheelchair-accessible entrance,",Colombo,10:00 PM,"A Buddhist temple with a blend of Sri Lankan, Thai, Indian, and Chinese architecture. It houses an eclectic collection of artifacts and religious relics.","Photography, Sightseeing, Relaxing",Ancient Buddhist monastery,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Gangaramaya_Temple.JPG/1280px-Gangaramaya_Temple.JPG,6.916719818441023,79.85406531012194,Gangarama Temple,6:00 AM,Getting tickets in advance recommended,Western,4.6
652b9d229c8deef2485bf8ea, ,Colombo,0:00 AM,"A national monument commemorating Sri Lanka's independence from British colonial rule. It features symbolic architectural elements and a museum.","Photography, Sightseeing, Relaxing",Ancient Buddhist monastery,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Independence_Commemoration_Hall.jpg/1280px-Independence_Commemoration_Hall.jpg,6.904767900890669,79.86235274076459,Independence Square,0:00 AM,Getting tickets in advance recommended,Western,4.6
652b9d229c8deef2485bf8eb, ,"Kelaniya, Colombo",0:00 AM,"One of the most sacred Buddhist temples in Sri Lanka, believed to have been visited by Lord Buddha. It boasts vibrant murals and a stupa.","Photography, Sightseeing, Relaxing",Ancient Buddhist monastery,https://upload.wikimedia.org/wikipedia/commons/2/2c/Kelaniya_AS1.JPG,7.534774392447118,80.557663210421,Kelaniya Raja Maha Viharaya,0:00 AM,Getting tickets in advance recommended,Western,4.8
652b9d229c8deef2485bf8ec, ,Colombo,8:00 PM,"A historic Catholic church in Colombo, believed to be one of the oldest churches in Sri Lanka.","Photography, Sightseeing, Relaxing",Ancient Buddhist monastery,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/St._Anthony%27s_Shrine%2C_Kochchikade.jpg/1280px-St._Anthony%27s_Shrine%2C_Kochchikade.jpg,6.946733598135862,79.85617107921762,"St. Anthony's Shrine, Kochchikade",5:00 AM,Getting tickets in advance recommended,Western,4.8
652b9d229c8deef2485bf8ed,"Wheelchair-accessible car park, Wheelchair-accessible entrance",Colombo,6:00 PM,"Originally named Victoria Park, it's a public park with historical significance. It was named in honor of Queen Viharamahadevi, the mother of King Dutugemunu.","Playground, Dogs allowed, Picnic tables, Public toilet, Skateboarding area, Slides, Swings", ,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Viharamahadevi_Park_incl._Town_Hall.jpg/1280px-Viharamahadevi_Park_incl._Town_Hall.jpg,6.913396000763278,79.85687454076495,Queen Viharamahadevi Park,6:00 AM, ,Western,4.4
652b9d229c8deef2485bf8ee, ,Dehiwala,6:00 PM,"One of the oldest zoos in Asia, with a history spanning over 80 years. It's a great place to explore both wildlife and the zoo's heritage.", , ,https://upload.wikimedia.org/wikipedia/commons/8/8b/Elephant_dance_at_galleryfull.jpg,6.856986419170487,79.87182221012159,Dehiwala Zoological Garden,8:30 AM, ,Western,4.2
652b9d229c8deef2485bf8ef, ,Aluthgama,10:00 PM,A historic Buddhist temple complex with a significant cultural and religious legacy., , ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/LK-aluthgama-kande-vihara-tempel.jpg/1280px-LK-aluthgama-kande-vihara-tempel.jpg,6.928265418299376,79.90980961012197,Kande Purana Rajamaha Viharaya,6:00 AM, ,Western,4.6